"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","검증","0","더미 테스트","1","0","실패 케이스","0"
"0","검증","0","더미 테스트","1","0","성공 케이스","0"
"0","검증","0","더미 테스트","3","0","파라미터 테스트","0"
"0","검증","0","더미 테스트","0","1","스킵 케이스","0"
