"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","사용자 인증","0","로그인/로그아웃","1","0","로그인 전용 테스트","0"
"0","사용자 인증","0","로그인/로그아웃","1","0","전체 로그인-로그아웃 플로우","0"
